Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors,Type
nvm-sh/nvm,https://github.com/nvm-sh/nvm,Shell,5850,55751,3355,55751,"['bash', 'install', 'lts', 'node', 'node-js', 'nodejs', 'nvm', 'nvmrc', 'posix', 'posix-compliant', 'shell', 'version-manager', 'zsh']",346,['Other']
socketio/socket.io,https://github.com/socketio/socket.io,TypeScript,9984,55317,15186,55317,[],203,['Other']
adam-p/markdown-here,https://github.com/adam-p/markdown-here,JavaScript,10554,54520,16032,54520,[],12,['Other']
keras-team/keras,https://github.com/keras-team/keras,Python,19006,54442,22385,54442,"['data-science', 'deep-learning', 'machine-learning', 'neural-networks', 'python', 'tensorflow']",1034,['AI']
pytorch/pytorch,https://github.com/pytorch/pytorch,C++,15026,54284,757563,54284,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",3126,['AI']
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,JavaScript,2642,54103,61902,54103,"['css', 'css-framework', 'functional-css', 'postcss', 'responsive', 'tailwindcss', 'utility-classes']",217,"['Web Application', 'Framework']"
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,C#,16278,53954,13485,53954,"['c-sharp', 'proxy', 'shadowsocks']",87,['Other']
fatedier/frp,https://github.com/fatedier/frp,Go,9788,53753,25044,53753,"['expose', 'firewall', 'frp', 'go', 'http-proxy', 'nat', 'proxy', 'reverse-proxy', 'tunnel']",82,['Other']
redis/redis,https://github.com/redis/redis,C,20812,53724,112207,53724,[],652,['Other']
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,HTML,5845,53546,4605,53546,[],1251,['Other']
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,Python,13125,53368,5019,53368,[],554,['Other']
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Shell,4440,53302,229161,53302,"['awesome', 'computer-science', 'meetup', 'papers', 'programming', 'read-papers', 'theory']",270,['Other']
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,C++,13770,53255,90389,53255,"['marshalling', 'protobuf', 'protobuf-runtime', 'protoc', 'protocol-buffers', 'protocol-compiler', 'rpc', 'serialization']",928,['Other']
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,7571,52771,3854,52771,"['awesome', 'github', 'hellogithub', 'python']",8,['Other']
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,Assembly,6769,52552,2942,52552,"['agc', 'apollo', 'hacktoberfest', 'nasa']",169,['Other']
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,10150,52436,966817,52436,"['blog', 'compiler', 'documentation-tool', 'gatsby', 'graphql', 'react', 'static-site-generator', 'web-app']",4177,['Web Application']
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,JavaScript,11966,52411,20071,52411,"['best-practices', 'css', 'html', 'html5', 'html5-boilerplate', 'javascript', 'robust']",296,['Web Application']
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,Nunjucks,10250,52387,3462,52387,"['css-questions', 'front-end', 'html-questions', 'interview-questions', 'interview-test', 'js-questions']",258,['Web Application']
lodash/lodash,https://github.com/lodash/lodash,JavaScript,6323,52368,47581,52368,"['javascript', 'lodash', 'modules', 'utilities']",327,['Other']
ansible/ansible,https://github.com/ansible/ansible,Python,21622,52284,212701,52284,"['ansible', 'hacktoberfest', 'python']",6525,['Other']
coder/code-server,https://github.com/coder/code-server,TypeScript,4309,51910,50172,51910,"['browser-ide', 'dev-tools', 'development-environment', 'ide', 'remote-work', 'vscode', 'vscode-remote']",168,['Web Application']
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,Dockerfile,4506,51746,5,51746,[],,['Other']
ElemeFE/element,https://github.com/ElemeFE/element,Vue,13701,51728,82513,51728,"['components', 'element-ui', 'javascript', 'ui-kit', 'vue', 'vue-components', 'vuejs']",605,['Web Application']
neovim/neovim,https://github.com/neovim/neovim,Vim script,3683,51220,148402,51220,"['api', 'c', 'lua', 'neovim', 'nvim', 'text-editor', 'vim']",840,['Web Application']
resume/resume.github.com,https://github.com/resume/resume.github.com,JavaScript,1289,50852,411,50852,[],55,['Other']
rails/rails,https://github.com/rails/rails,Ruby,20169,50244,242536,50244,"['activejob', 'activerecord', 'framework', 'html', 'mvc', 'rails', 'ruby']",5843,"['Web Application', 'Framework']"
